aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe
0.0,0.795,0.076,0.002,0.692,0.012,0.044,0.675,0.713,0.0,0.7,0.505,0.109,0.242,0.8,0.052,0.409,0.9,0.02,0.333,0.0
0.016,0.601,0.029,0.302,0.154,0.008,0.056,0.395,0.36,0.0,0.009,0.63,0.905,0.133,0.9,0.031,0.268,1.0,0.18,0.222,0.0
0.016,0.071,0.0,0.166,0.154,0.014,0.067,0.77,0.413,0.0,0.001,0.085,0.147,0.109,0.7,0.002,0.063,0.1,0.02,0.333,0.0
0.008,0.508,0.057,0.138,0.308,0.035,0.011,0.54,0.953,0.0,0.89,0.4,0.111,0.034,0.8,0.08,0.561,0.6,0.1,0.889,0.0
0.004,0.564,0.076,0.014,0.154,0.009,0.056,0.575,0.227,0.0,0.85,0.325,0.924,0.249,0.3,0.13,0.063,1.0,0.14,0.111,0.0
0.016,0.877,0.019,0.071,0.231,0.008,0.089,0.355,0.66,0.0,0.75,0.355,0.036,0.02,0.2,0.041,0.083,0.0,0.06,0.556,0.0
0.014,0.586,0.048,0.024,0.462,0.01,0.011,0.91,0.147,0.0,0.99,0.54,0.427,0.328,0.5,0.001,0.031,1.0,0.18,0.778,0.0
0.018,0.627,0.086,0.17,0.385,0.056,0.044,0.59,0.667,0.0,0.92,0.43,0.479,0.27,0.7,0.026,0.109,0.3,0.08,0.889,0.0
0.006,0.245,0.076,0.19,0.615,0.003,0.067,0.755,0.973,0.0,0.58,0.305,0.473,0.058,0.4,0.074,0.084,0.3,0.14,0.667,0.0
0.008,0.343,0.086,0.075,0.077,0.005,0.089,0.885,0.287,0.0,0.8,0.57,0.642,0.034,0.8,0.002,0.089,0.2,0.04,0.667,0.0
0.0,0.689,0.048,0.2,0.077,0.081,0.089,0.615,0.96,0.0,0.56,0.06,0.522,0.259,0.4,0.148,0.033,0.7,0.06,0.889,0.0
0.012,0.9,0.057,0.004,0.462,0.033,0.078,0.67,0.193,0.0,0.96,0.835,0.801,0.573,0.2,0.002,0.308,0.6,0.14,0.667,0.0
0.002,0.707,0.095,0.156,0.538,0.036,0.078,0.525,0.667,0.0,0.007,0.545,0.13,0.195,0.1,0.109,0.034,0.4,0.2,0.556,0.0
0.01,0.205,0.019,0.093,0.462,0.01,0.011,0.545,0.9,0.0,0.002,0.155,0.858,0.253,0.7,0.067,0.093,0.8,0.0,0.889,0.0
0.006,0.067,0.048,0.067,0.462,0.005,0.089,0.135,0.353,0.0,0.002,0.55,0.718,0.437,0.9,0.029,0.3,0.4,0.08,0.0,0.0
0.004,0.494,0.0,0.37,0.462,0.035,0.044,0.785,0.173,0.0,0.69,0.91,0.091,0.502,0.8,0.006,0.179,0.1,0.08,0.556,0.0
0.0,0.848,0.076,0.152,0.231,0.01,0.044,0.23,0.94,0.08,0.006,0.245,0.501,0.27,0.6,0.0,0.066,0.3,0.02,0.0,0.0
0.004,0.757,0.048,0.107,0.308,0.008,0.011,0.765,0.58,0.0,0.008,0.395,0.473,0.239,0.7,0.013,0.651,0.6,0.12,0.556,0.0
0.02,0.203,0.076,0.016,0.077,0.002,0.089,0.515,0.34,0.0,0.77,0.06,0.103,0.089,0.8,0.03,0.227,0.2,0.02,0.444,0.0
0.002,0.849,0.057,0.073,0.385,0.041,0.089,0.78,0.607,0.0,0.005,0.065,0.579,0.164,0.6,0.066,0.513,0.5,0.12,0.889,0.0
0.004,0.518,0.095,0.411,0.308,0.012,0.033,0.675,0.827,0.0,0.006,0.965,0.908,0.218,0.1,0.135,0.103,0.9,0.14,0.556,0.0
0.002,0.95,0.086,0.399,0.077,0.006,0.0,0.545,0.0,0.0,0.8,0.455,0.902,0.164,0.1,0.138,0.104,0.9,0.06,0.0,0.0
0.01,0.118,0.029,0.018,0.462,0.02,0.056,0.45,0.367,0.0,0.002,0.675,0.284,0.317,0.4,0.004,0.646,0.4,0.1,0.444,0.0
0.004,0.746,0.029,0.089,0.692,0.0,0.111,0.925,0.827,0.0,0.75,0.62,0.144,0.239,0.8,0.003,0.237,0.8,0.12,0.667,0.0
0.012,0.888,0.0,0.061,0.385,0.009,0.1,0.455,0.28,0.0,0.006,0.535,0.714,0.235,0.9,0.087,0.103,0.4,0.06,0.0,0.0
0.014,0.428,0.086,0.132,0.077,0.006,0.0,0.94,0.267,0.0,0.004,0.425,0.634,0.058,0.8,0.116,0.389,1.0,0.14,0.556,0.0
0.012,0.635,0.067,0.219,0.154,0.018,0.1,0.04,0.227,0.0,0.003,0.73,0.43,0.14,0.6,0.131,0.104,0.9,0.08,0.556,1.0
0.012,0.306,0.048,0.717,0.462,0.022,0.044,0.11,0.453,0.0,0.63,0.81,0.601,0.075,0.5,0.059,0.723,0.9,0.02,0.667,0.0
0.01,0.745,0.086,0.01,0.077,0.017,0.089,0.145,0.34,0.0,0.86,0.24,0.116,0.167,0.5,0.079,0.607,0.7,0.08,0.778,0.0
0.018,0.034,0.029,0.332,0.154,0.017,0.078,0.96,0.8,0.0,0.003,0.41,0.955,0.167,0.8,0.086,0.084,0.2,0.16,0.889,0.0
0.006,0.915,0.067,0.022,0.538,0.022,0.078,0.645,0.693,0.0,0.001,0.395,0.802,0.157,0.5,0.127,0.009,0.1,0.18,0.333,0.0
0.01,0.442,0.048,0.196,0.615,0.005,0.0,0.57,0.24,0.0,0.008,0.355,0.969,0.048,0.4,0.054,0.049,0.4,0.02,0.222,0.0
0.02,0.007,0.095,0.146,0.769,0.0,0.1,0.855,0.947,0.0,0.002,0.515,0.848,0.15,0.6,0.132,0.064,0.7,0.18,0.0,0.0
0.012,0.963,0.086,0.324,0.154,0.001,0.089,0.795,0.693,0.08,0.007,0.705,0.354,0.031,0.6,0.078,0.125,0.5,0.04,0.889,0.0
0.008,0.35,0.095,0.379,0.154,0.013,0.078,0.15,0.347,0.0,0.002,0.655,0.441,0.232,0.5,0.03,0.13,0.6,0.06,0.556,1.0
0.002,0.289,0.086,0.623,0.154,0.0,0.078,0.27,0.093,0.0,0.004,0.345,0.462,0.068,0.7,0.062,0.178,0.8,0.18,1.0,0.0
0.012,0.015,0.067,0.466,0.385,0.048,0.0,0.895,0.593,0.0,0.67,0.68,0.739,0.3,0.6,0.021,0.045,0.9,0.2,0.111,0.0
0.006,0.767,0.0,0.123,0.077,0.006,0.089,0.27,0.887,0.05,0.001,0.83,0.603,0.068,0.6,0.002,0.025,0.7,0.16,0.889,0.0
0.004,0.685,0.057,0.028,0.462,0.009,0.056,0.22,0.8,0.0,0.77,0.56,0.525,0.188,0.1,0.04,0.105,0.1,0.1,0.667,0.0
0.008,0.62,0.086,0.235,0.692,0.002,0.089,0.985,0.393,0.0,0.007,0.845,0.257,0.089,0.4,0.012,0.073,0.7,0.1,0.111,0.0
0.016,0.314,0.067,0.028,0.154,0.07,0.089,0.99,0.44,0.06,0.008,0.505,0.406,0.126,0.9,0.002,0.124,0.4,0.12,0.111,0.0
0.018,0.258,0.076,0.2,0.154,0.065,0.011,0.325,0.6,0.0,0.58,0.465,0.529,0.113,0.3,0.099,0.113,0.5,0.18,0.556,0.0
0.008,0.11,0.067,0.055,0.308,0.028,0.022,0.615,0.5,0.0,0.79,0.125,0.818,0.072,0.2,0.125,0.063,0.7,0.06,0.333,0.0
0.008,0.7,0.038,0.174,0.231,0.014,0.067,0.53,0.067,0.0,0.84,0.695,0.845,0.164,0.1,0.002,0.297,0.8,0.18,0.778,0.0
0.004,0.077,0.086,0.028,0.692,0.007,0.022,0.54,0.1,0.0,0.007,0.92,0.163,0.007,0.1,0.088,0.011,0.0,0.12,0.556,0.0
0.016,0.393,0.0,0.034,0.308,0.001,0.056,0.07,0.673,0.0,0.0,0.075,0.504,0.157,0.8,0.093,0.497,0.1,0.04,0.0,1.0
0.016,0.045,0.029,0.259,0.538,0.002,0.056,0.63,0.553,0.0,0.77,0.45,0.574,0.195,0.4,0.004,0.106,0.9,0.16,0.889,0.0
0.0,0.946,0.095,0.174,0.615,0.0,0.078,0.67,0.02,0.0,0.98,0.34,0.589,0.212,0.5,0.043,0.038,0.5,0.1,0.222,0.0
0.018,0.432,0.048,0.028,0.538,0.0,0.078,0.845,0.98,0.05,0.008,0.615,0.316,0.229,0.9,0.006,0.114,0.3,0.14,0.556,0.0
0.02,0.102,0.076,0.038,0.462,0.048,0.011,0.875,0.853,0.0,0.008,0.885,0.861,0.215,0.3,0.035,0.024,0.1,0.02,0.889,0.0
0.006,0.115,0.067,0.166,0.538,0.022,0.067,0.805,0.3,0.0,0.002,0.745,0.953,0.324,0.4,0.013,0.085,1.0,0.1,0.333,0.0
0.006,0.673,0.067,0.8,0.615,0.029,0.089,0.095,0.347,0.0,0.74,0.31,0.345,0.126,0.4,0.021,0.402,0.0,0.02,0.222,0.0
0.018,0.658,0.038,0.526,0.077,0.022,0.011,0.19,0.013,0.0,0.76,0.605,0.388,0.331,0.8,0.003,0.119,0.7,0.2,1.0,0.0
0.006,0.393,0.086,0.087,0.308,0.017,0.022,0.17,0.093,0.06,0.004,0.43,0.736,0.259,0.0,0.063,0.3,0.1,0.2,0.667,0.0
0.004,0.729,0.038,0.275,0.769,0.024,0.078,0.465,0.133,0.0,0.51,0.525,0.324,0.15,0.2,0.005,0.113,0.4,0.0,0.556,0.0
0.016,0.283,0.048,0.134,0.615,0.001,0.056,0.35,0.213,0.0,0.65,0.84,0.124,0.072,0.3,0.063,0.01,0.9,0.16,0.111,0.0
0.012,0.341,0.038,0.101,0.0,0.0,0.056,0.775,0.727,0.0,0.72,0.685,0.739,0.218,0.1,0.0,0.19,0.9,0.12,0.333,0.0
0.008,0.289,0.067,0.04,0.231,0.006,0.1,0.555,0.24,0.0,0.006,0.945,0.867,0.181,1.0,0.124,0.537,0.1,0.0,0.556,0.0
0.016,0.431,0.086,0.105,0.615,0.008,0.022,0.985,0.407,0.0,0.52,0.475,0.716,0.082,0.5,0.071,0.063,0.1,0.0,0.222,0.0
0.02,0.92,0.057,0.047,0.231,0.017,0.022,0.21,0.753,0.05,0.004,0.265,0.659,0.28,0.6,0.096,0.001,0.8,0.18,0.444,0.0
0.0,0.619,0.057,0.045,0.154,0.01,0.1,0.67,0.173,0.07,0.008,0.565,0.11,0.205,1.0,0.044,0.217,0.9,0.08,0.444,0.0
0.02,0.626,0.01,0.045,0.0,0.0,0.056,0.09,0.087,0.0,0.79,0.66,0.493,0.092,0.6,0.032,0.272,0.0,0.16,0.667,0.0
0.008,0.269,0.057,0.162,0.538,0.018,0.089,0.64,0.213,0.0,0.53,0.875,0.072,0.119,0.7,0.055,0.482,0.1,0.2,0.222,0.0
0.002,0.542,0.048,0.115,0.538,0.01,0.078,0.57,0.76,0.0,0.004,0.225,0.461,0.297,1.0,0.002,0.288,0.2,0.1,0.444,1.0
0.014,0.466,0.095,0.229,0.231,0.014,0.089,0.355,0.347,0.0,0.007,0.73,0.436,0.034,0.3,0.023,0.023,0.7,0.12,0.111,1.0
0.004,0.899,0.048,0.095,0.154,0.024,0.011,0.995,0.147,0.0,0.008,0.425,0.21,0.526,0.8,0.084,0.069,0.9,0.14,0.333,0.0
0.012,0.6,0.086,0.184,0.615,0.006,0.011,0.605,0.807,0.0,0.83,0.525,0.449,0.331,0.3,0.218,0.106,0.4,0.04,0.556,0.0
0.018,0.482,0.038,0.31,0.462,0.058,0.056,0.65,0.333,0.1,0.008,0.18,0.134,0.174,0.8,0.0,0.035,0.1,0.08,0.222,1.0
0.01,0.294,0.048,0.16,0.692,0.044,0.111,0.475,0.187,0.0,0.53,0.91,0.979,0.218,0.9,0.005,0.028,0.8,0.04,1.0,0.0
0.02,0.931,0.029,0.154,0.692,0.031,0.111,0.005,0.287,0.0,0.007,0.165,0.315,0.116,0.1,0.109,0.199,0.1,0.18,0.556,1.0
0.002,0.856,0.048,0.192,0.385,0.002,0.044,0.72,0.2,0.0,0.004,0.81,0.149,0.003,0.8,0.018,0.193,0.1,0.1,0.0,0.0
0.012,0.334,0.038,0.03,0.385,0.068,0.0,0.26,0.213,0.0,0.002,0.55,0.21,0.253,0.0,0.197,0.468,0.1,0.1,0.222,1.0
0.002,0.722,0.048,0.356,0.462,0.055,0.056,0.72,0.387,0.0,0.96,0.955,0.532,0.208,0.8,0.036,0.06,0.2,0.02,0.889,0.0
0.008,0.29,0.057,0.148,0.769,0.003,0.067,0.505,0.453,0.0,0.006,0.635,0.792,0.253,0.6,0.106,0.1,0.0,0.1,0.111,0.0
0.014,0.494,0.067,0.51,0.462,0.0,0.011,0.82,0.573,0.0,0.64,0.16,0.519,0.154,0.6,0.018,0.225,0.3,0.04,0.667,0.0
0.016,0.514,0.095,0.362,0.538,0.059,0.033,0.11,0.007,0.0,0.76,0.26,0.79,0.102,0.9,0.005,0.439,0.1,0.2,0.556,0.0
0.018,0.583,0.029,0.352,0.462,0.006,0.089,0.11,0.727,0.0,0.57,0.505,0.539,0.106,0.1,0.1,0.083,0.4,0.02,0.111,0.0
0.018,0.703,0.057,0.17,0.231,0.052,0.011,0.38,0.773,0.0,0.79,0.245,0.866,0.041,0.6,0.025,0.101,0.7,0.08,0.0,0.0
0.012,0.441,0.048,0.358,0.077,0.012,0.022,0.75,0.46,0.0,0.82,0.265,0.065,0.208,0.5,0.015,0.124,0.5,0.04,0.778,0.0
0.012,0.093,0.01,0.261,0.538,0.016,0.0,0.995,0.86,0.0,0.86,0.235,0.407,0.075,0.2,0.0,0.019,0.4,0.16,0.222,0.0
0.01,0.73,0.086,0.014,0.769,0.002,0.067,0.785,0.44,0.0,0.58,0.355,0.72,0.01,0.8,0.112,0.265,0.5,0.16,0.667,0.0
0.002,0.129,0.095,0.053,0.231,0.008,0.089,0.615,0.573,0.0,0.87,0.095,0.85,0.167,0.7,0.033,0.021,0.1,0.1,0.889,0.0
0.004,0.432,0.019,0.54,0.462,0.022,0.022,0.125,0.833,0.0,0.7,0.645,0.829,0.215,0.3,0.058,0.208,0.3,0.1,0.778,0.0
0.004,0.637,0.038,0.085,0.231,0.002,0.067,0.435,0.46,0.0,0.55,0.765,0.303,0.031,0.7,0.045,0.303,0.1,0.06,0.889,0.0
0.014,0.762,0.019,0.385,0.077,0.012,0.1,0.885,0.413,0.0,0.006,0.685,0.777,0.068,0.4,0.144,0.001,0.1,0.04,0.556,0.0
0.006,0.417,0.038,0.492,0.154,0.008,0.067,0.365,0.453,0.0,0.006,0.265,0.924,0.126,0.8,0.037,0.08,1.0,0.14,0.444,0.0
0.012,0.344,0.057,0.034,0.692,0.037,0.089,0.55,0.987,0.0,0.75,0.735,0.44,0.242,0.7,0.086,0.098,0.2,0.06,0.222,0.0
0.014,0.294,0.019,0.2,0.308,0.044,0.111,0.385,0.507,0.0,0.51,0.43,0.543,0.031,0.0,0.096,0.641,0.2,0.06,0.889,0.0
0.01,0.978,0.086,0.119,0.231,0.031,0.067,0.07,0.947,0.0,1.0,0.41,0.6,0.003,0.6,0.003,0.03,0.0,0.16,0.556,0.0
0.002,0.585,0.0,0.109,0.231,0.032,0.111,0.31,0.647,0.0,0.006,0.6,0.469,0.294,0.3,0.001,0.08,0.1,0.16,0.778,0.0
0.008,0.636,0.01,0.164,0.231,0.016,0.111,0.18,0.487,0.0,0.0,0.015,0.728,0.304,0.5,0.019,0.044,0.3,0.18,0.222,0.0
0.012,0.396,0.038,0.0,0.231,0.06,0.089,0.715,0.993,0.0,0.58,0.8,0.32,0.328,0.0,0.063,0.337,0.0,0.08,0.0,0.0
0.0,0.877,0.019,0.02,0.385,0.036,0.067,0.825,0.053,0.0,0.51,0.125,0.715,0.174,0.2,0.003,0.347,0.8,0.06,0.667,0.0
0.008,0.217,0.038,0.166,0.154,0.01,0.033,0.025,0.807,0.0,0.001,0.075,0.115,0.044,0.1,0.057,0.472,0.9,0.06,0.111,1.0
0.006,0.29,0.057,0.194,0.615,0.005,0.078,0.08,0.58,0.0,0.67,0.9,0.59,0.154,0.3,0.125,0.054,0.7,0.18,0.111,0.0
0.006,0.383,0.019,0.105,0.615,0.008,0.1,0.065,0.86,0.0,0.82,0.36,0.67,0.256,0.6,0.057,0.028,0.2,0.02,0.444,0.0
0.016,0.014,0.086,0.152,0.231,0.008,0.067,0.86,0.593,0.09,0.005,0.92,0.525,0.058,0.1,0.125,0.257,0.0,0.06,0.889,0.0
0.018,0.49,0.029,0.486,0.462,0.043,0.056,0.325,0.487,0.0,0.53,0.66,0.233,0.044,0.7,0.055,0.151,0.5,0.18,0.556,0.0
0.012,0.53,0.057,0.308,0.385,0.02,0.044,0.835,0.807,0.0,0.65,0.21,0.534,0.249,0.5,0.102,0.023,0.6,0.14,0.556,0.0
0.018,0.309,0.057,0.18,0.538,0.001,0.1,0.945,0.787,0.0,0.75,0.46,0.401,0.0,0.2,0.084,0.106,0.7,0.02,0.778,0.0
0.008,0.037,0.01,0.362,0.538,0.003,0.056,0.47,0.173,0.0,0.009,0.115,0.59,0.239,0.3,0.183,0.454,0.6,0.04,0.444,0.0
0.008,0.633,0.076,0.251,0.692,0.012,0.089,0.425,0.673,0.0,0.008,0.225,0.143,0.195,0.5,0.118,0.307,0.1,0.18,0.111,0.0
0.014,0.611,0.019,0.186,0.769,0.037,0.067,0.145,0.333,0.0,0.7,0.68,0.953,0.498,0.1,0.0,0.093,0.2,0.16,0.222,0.0
0.018,0.289,0.048,0.322,0.308,0.008,0.033,0.85,0.193,0.0,0.78,0.925,0.661,0.055,0.6,0.032,0.046,0.3,0.02,0.444,0.0
0.002,0.143,0.01,0.328,0.538,0.001,0.078,0.36,0.28,0.0,0.75,0.35,0.655,0.01,0.5,0.153,0.264,0.0,0.04,0.333,0.0
0.0,0.526,0.086,0.449,0.769,0.002,0.044,0.75,0.167,0.02,0.0,0.415,0.325,0.119,0.9,0.226,0.075,0.2,0.02,0.0,0.0
0.006,0.05,0.029,0.318,0.538,0.003,0.089,0.76,0.507,0.0,0.57,0.775,0.443,0.341,0.2,0.026,0.051,1.0,0.04,0.889,0.0
0.02,0.166,0.057,0.381,0.077,0.017,0.067,0.755,0.593,0.0,0.55,0.82,0.466,0.249,0.1,0.027,0.039,0.8,0.2,1.0,0.0
0.012,0.719,0.076,0.35,0.231,0.005,0.089,0.12,0.44,0.09,0.008,0.85,0.834,0.133,0.6,0.006,0.023,0.2,0.12,0.222,0.0
0.018,0.986,0.086,0.37,0.538,0.022,0.089,0.58,0.707,0.0,0.82,0.6,0.358,0.089,0.1,0.036,0.438,0.4,0.08,0.444,0.0
0.002,0.83,0.067,0.178,0.154,0.014,0.067,0.435,0.107,0.0,0.003,0.215,0.349,0.208,0.8,0.025,0.061,0.2,0.18,0.556,1.0
0.018,0.639,0.067,0.006,0.769,0.02,0.0,0.01,0.027,0.0,0.76,0.99,0.581,0.13,0.6,0.056,0.275,0.6,0.08,0.222,0.0
0.006,0.754,0.086,0.759,0.692,0.037,0.044,0.97,0.847,0.08,0.008,0.97,0.679,0.044,0.5,0.003,0.13,0.8,0.12,0.778,0.0
0.008,0.782,0.067,0.053,0.308,0.017,0.056,0.785,0.287,0.04,0.003,0.445,0.751,0.249,0.5,0.029,0.568,0.3,0.14,0.333,0.0
0.016,0.76,0.067,0.399,0.462,0.018,0.056,0.975,0.92,0.0,0.003,0.955,0.949,0.15,0.9,0.005,0.066,0.5,0.16,0.222,0.0
0.018,0.586,0.038,0.136,0.231,0.02,0.078,0.7,0.333,0.0,0.005,0.22,0.184,0.058,0.1,0.175,0.13,0.4,0.08,0.333,0.0
0.004,0.324,0.048,0.435,0.462,0.006,0.033,0.275,0.847,0.0,0.61,0.435,0.868,0.239,0.9,0.102,0.076,0.9,0.08,0.556,0.0
0.01,0.028,0.019,0.31,0.308,0.028,0.078,0.695,0.747,0.1,0.001,0.54,0.484,0.259,0.9,0.011,0.103,0.2,0.18,0.778,0.0
0.002,0.866,0.067,0.136,0.154,0.005,0.0,0.185,0.86,0.0,0.62,0.61,0.63,0.294,0.7,0.008,0.018,0.4,0.0,0.889,0.0
0.016,0.715,0.076,0.508,0.154,0.031,0.0,0.175,0.953,0.0,0.71,0.305,0.919,0.198,0.4,0.146,0.212,0.5,0.02,0.333,0.0
0.006,0.022,0.057,0.172,0.0,0.014,0.089,0.725,0.347,0.0,0.003,0.44,0.052,0.276,0.7,0.127,0.143,0.1,0.02,0.111,0.0
0.014,0.453,0.029,0.077,0.154,0.008,0.044,0.53,0.353,0.0,0.96,0.79,0.627,0.201,0.2,0.015,0.085,0.3,0.08,0.333,0.0
0.002,0.649,0.086,0.016,0.308,0.003,0.067,0.25,0.493,0.0,0.5,0.37,0.98,0.072,0.8,0.045,0.124,0.5,0.16,0.444,0.0
0.01,0.906,0.0,0.358,0.692,0.016,0.033,0.135,0.62,0.0,0.5,0.35,0.847,0.034,0.2,0.004,0.385,0.6,0.14,0.222,0.0
0.008,0.316,0.019,0.03,0.769,0.008,0.089,0.005,0.007,0.0,0.5,0.74,0.535,0.676,0.7,0.136,0.034,0.6,0.0,0.222,0.0
0.004,0.548,0.067,0.267,0.692,0.046,0.1,0.62,0.613,0.0,0.006,0.86,0.327,0.201,0.4,0.165,0.22,0.8,0.14,0.111,0.0
0.002,0.37,0.048,0.0,0.538,0.01,0.056,0.77,0.213,0.0,0.006,0.205,0.946,0.201,0.9,0.071,0.561,0.6,0.2,0.889,0.0
0.018,0.349,0.048,0.231,0.308,0.01,0.033,0.52,0.927,0.07,0.006,0.88,0.22,0.28,0.8,0.029,0.36,0.3,0.16,0.556,0.0
0.014,0.166,0.0,0.036,0.538,0.033,0.011,0.165,0.887,0.0,0.59,0.68,0.588,0.154,0.8,0.134,0.474,0.1,0.06,0.111,0.0
0.018,0.115,0.038,0.117,0.077,0.021,0.067,0.3,0.047,0.0,0.79,0.82,0.042,0.096,1.0,0.065,0.073,0.6,0.12,0.444,0.0
0.002,0.528,0.048,0.182,0.538,0.005,0.089,0.82,0.407,0.0,1.0,0.19,0.583,0.157,0.6,0.002,0.259,0.2,0.02,0.889,0.0
0.01,0.478,0.019,0.123,0.385,0.068,0.056,0.405,0.16,0.0,0.005,0.025,0.887,0.208,0.2,0.0,0.061,0.4,0.16,0.333,0.0
0.014,0.912,0.0,0.18,0.0,0.002,0.011,0.845,0.653,0.0,0.004,0.905,0.308,0.208,0.8,0.043,0.08,0.7,0.06,0.111,0.0
0.018,0.95,0.048,0.065,0.077,0.008,0.033,0.755,0.24,0.0,0.78,0.795,0.681,0.123,0.8,0.036,0.056,0.7,0.04,0.778,0.0
0.02,0.042,0.067,0.202,0.385,0.003,0.067,0.995,0.32,0.0,0.001,0.25,0.925,0.014,0.0,0.046,0.395,0.9,0.02,0.0,0.0
0.004,0.29,0.076,0.294,0.154,0.03,0.056,0.61,0.707,0.0,0.008,0.515,0.226,0.137,0.7,0.011,0.426,0.1,0.12,0.778,1.0
0.008,0.458,0.01,0.045,0.154,0.005,0.078,0.65,0.247,0.0,0.98,0.78,0.524,0.276,0.8,0.018,0.049,0.5,0.02,0.0,0.0
0.012,0.155,0.067,0.352,0.385,0.021,0.056,0.69,0.927,0.0,0.87,0.235,0.144,0.15,0.1,0.053,0.125,0.9,0.0,0.889,0.0
0.012,0.764,0.095,0.014,0.462,0.012,0.1,0.25,0.567,0.0,0.004,0.17,0.226,0.3,0.7,0.181,0.124,0.9,0.04,0.222,1.0
0.008,0.84,0.019,0.0,0.308,0.017,0.022,0.39,0.06,0.0,0.83,0.69,0.552,0.208,0.9,0.044,0.436,0.9,0.2,0.556,0.0
0.012,0.672,0.019,0.263,0.385,0.02,0.056,0.085,0.393,0.07,0.008,0.795,0.921,0.3,0.8,0.044,0.051,0.1,0.0,1.0,0.0
0.01,0.589,0.095,0.168,0.385,0.009,0.078,0.725,0.933,0.0,0.003,0.51,0.441,0.317,0.2,0.149,0.061,0.1,0.14,0.444,0.0
0.004,0.53,0.048,0.168,0.308,0.01,0.067,0.02,0.773,0.0,0.51,0.22,0.263,0.307,0.6,0.045,0.32,0.4,0.18,0.889,0.0
0.018,0.415,0.038,0.13,0.538,0.067,0.011,0.9,0.973,0.0,0.004,0.565,0.528,0.181,0.6,0.021,0.023,0.9,0.18,0.778,0.0
0.01,0.779,0.057,0.067,0.692,0.039,0.056,0.915,0.687,0.0,0.009,0.685,0.541,0.055,0.2,0.007,0.006,0.6,0.08,0.222,0.0
0.004,0.633,0.057,0.002,0.462,0.009,0.1,0.685,0.433,0.09,0.006,0.17,0.583,0.594,0.8,0.116,0.096,0.6,0.18,0.222,0.0
0.01,0.937,0.067,0.581,0.538,0.028,0.078,0.26,0.147,0.0,0.69,0.32,0.682,0.191,0.4,0.048,0.703,0.3,0.08,0.778,0.0
0.006,0.469,0.057,0.172,0.385,0.014,0.067,0.725,0.187,0.0,0.52,0.985,0.44,0.242,0.6,0.119,0.164,0.6,0.06,0.889,0.0
0.0,0.124,0.086,0.034,0.308,0.033,0.033,0.375,0.293,0.0,0.68,0.785,0.829,0.109,0.2,0.071,0.09,0.4,0.12,0.444,0.0
0.002,0.119,0.067,0.038,0.231,0.001,0.078,0.035,0.467,0.01,0.0,0.04,0.389,0.051,0.6,0.045,0.11,0.6,0.04,0.889,1.0
0.004,0.063,0.048,0.111,0.0,0.002,0.078,0.83,0.527,0.0,0.73,0.295,0.27,0.154,0.6,0.024,0.151,0.6,0.06,0.556,0.0
0.014,0.273,0.0,0.032,0.154,0.02,0.067,0.98,0.547,0.0,0.005,0.185,0.712,0.334,0.0,0.021,0.114,0.0,0.18,0.111,0.0
0.02,0.572,0.076,0.13,0.385,0.083,0.067,0.285,0.96,0.0,0.003,0.46,0.398,0.068,0.9,0.003,0.115,0.2,0.08,0.778,1.0
0.002,0.177,0.057,0.126,0.308,0.045,0.067,0.325,1.0,0.0,0.79,0.59,0.607,0.123,0.2,0.075,0.22,0.1,0.04,0.667,0.0
0.012,0.636,0.038,0.036,0.308,0.002,0.067,0.18,0.927,0.0,0.8,0.58,0.183,0.044,0.1,0.002,0.874,0.6,0.1,0.889,0.0
0.002,0.593,0.029,0.032,0.0,0.014,0.089,0.535,0.96,0.07,0.005,0.3,0.526,0.137,0.6,0.009,0.066,1.0,0.12,0.889,0.0
0.002,0.699,0.076,0.221,0.308,0.003,0.1,0.04,0.793,0.0,0.7,0.785,0.557,0.017,0.0,0.087,0.093,0.4,0.02,0.222,0.0
0.012,0.518,0.057,0.164,0.231,0.065,0.111,0.82,0.52,0.0,0.61,0.19,0.366,0.191,0.9,0.146,0.061,0.9,0.08,0.333,0.0
0.018,0.052,0.019,0.055,0.615,0.008,0.067,0.695,0.793,0.0,0.001,0.97,0.075,0.017,0.9,0.005,0.579,0.8,0.0,0.222,0.0
0.008,0.209,0.086,0.012,0.308,0.039,0.067,0.25,0.893,0.0,0.003,0.475,0.123,0.154,0.1,0.064,0.581,0.1,0.08,0.778,1.0
0.008,0.042,0.086,0.251,0.538,0.014,0.044,0.275,0.64,0.0,0.004,0.31,0.766,0.126,0.3,0.002,0.053,0.3,0.04,0.444,0.0
0.004,0.828,0.057,0.302,0.615,0.008,0.067,0.33,0.667,0.0,0.67,0.91,0.622,0.324,0.4,0.181,0.098,0.7,0.04,0.0,0.0
0.002,0.27,0.048,0.16,0.462,0.02,0.033,0.03,0.493,0.05,0.003,0.375,0.223,0.126,0.3,0.086,0.836,0.5,0.12,0.0,0.0
0.01,0.861,0.057,0.174,0.615,0.007,0.044,0.025,0.953,0.0,0.92,0.2,0.25,0.239,0.7,0.116,0.113,0.1,0.12,0.111,0.0
0.0,0.668,0.01,0.626,0.154,0.021,0.067,0.395,0.393,0.0,0.007,0.12,0.183,0.311,0.2,0.048,0.751,0.6,0.18,1.0,0.0
